"_id","id","answer","qTime","__v"
"65a15b0d1e343c4e21eaef9d",,"2",-1,0
"65a15b2e1e343c4e21eaf0a7",,"5",31283,0
"65a162481e343c4e21eaf0b7",,"2",-1,0
"65a1632a1e343c4e21eaf0c5",,"3",-1,0
"65a163aa1e343c4e21eaf0fb",,"-1",-1,0
"65a163cd1e343c4e21eaf111",,"0",25855,0
"65a163eb1e343c4e21eaf119",,"-2",55839,0
"65a19a7f1e343c4e21eaf131","t6yler","2",-1,0
"65a19ac31e343c4e21eaf14b","t6yler","2",58603,0
"65a2ea4c72dfad6eeac332ab",,"5",57125,0
"65a3f5f172dfad6eeac332c7",,"4",-1,0
"65a3f61f72dfad6eeac332d3",,"1",-1,0
"65a3f66672dfad6eeac332e1",,"2",-1,0
"65a3f70d72dfad6eeac332ed",,"2",-1,0
"65a3f75472dfad6eeac332fd",,"2",-1,0
"65a3f79272dfad6eeac3330b",,"2",-1,0
"65a3f7c872dfad6eeac33319",,"0",-1,0
"65a3f80172dfad6eeac33327",,"0",-1,0
"65a3f92c72dfad6eeac33333",,"2",-1,0
"65a3f99072dfad6eeac33341",,"3",-1,0
"65a3f9c572dfad6eeac3334d",,"1",-1,0
"65a3f9f272dfad6eeac3335b",,"1",-1,0
"65a3fa3072dfad6eeac33369",,"0",-1,0
"65a3fa9972dfad6eeac33377",,"2",-1,0
"65a3fae172dfad6eeac33437",,"1",-1,0
"65a3faee72dfad6eeac33443",,"1",-1,0
"65a3fb3672dfad6eeac33451",,"1",-1,0
"65a3fc0572dfad6eeac3345d",,"1",-1,0
"65a3fc4272dfad6eeac3346b",,"3",-1,0
"65a3fc7372dfad6eeac33479",,"0",-1,0
"65a3fcb772dfad6eeac33487",,"1",-1,0
"65a3fcfc72dfad6eeac33497",,"2",-1,0
"65a3fd1372dfad6eeac334a5",,"3",-1,0
"65a3fd8a72dfad6eeac334b3",,"3",-1,0
"65a3fdd672dfad6eeac334c3",,"3",-1,0
"65a3fe4972dfad6eeac334d3",,"2",-1,0
"65a3fe7172dfad6eeac334d5",,"3",32016,0
"65a3feb972dfad6eeac334e3",,"4",-1,0
"65a3fee272dfad6eeac334e5",,"4",31921.999999999996,0
"65a400ec72dfad6eeac334f3",,"2",-1,0
"65a4010d72dfad6eeac33587",,"3",31141,0
"65a4010d72dfad6eeac33589",,"4",31708,0
"65a4012c72dfad6eeac335a5",,"4",62759,0
"65a4019972dfad6eeac335d7",,"3",-1,0
"65a401e172dfad6eeac335e5",,"3",-1,0
"65a4022e72dfad6eeac335e7",,"0",75374,0
"65a4025472dfad6eeac335f7",,"3",-1,0
"65a4027572dfad6eeac335f9",,"2",30547,0
"65a4029672dfad6eeac335fb",,"5",63230,0
"65a7ec8272dfad6eeac3360b",,"1",-1,0
"65a7f71672dfad6eeac33653",,"2",-1,0
"65a7f73972dfad6eeac33665",,"2",-1,0
"65a7f74d72dfad6eeac33677",,"1",-1,0
"65a7f79c72dfad6eeac336a7",,"2",61237,0
"65a7f7b672dfad6eeac336a9",,"5",87170,0
"65a7f7d372dfad6eeac336ab",,"-3",116204,0
"65a7fa7872dfad6eeac336b9",,"4",-1,0
"65a7fa9272dfad6eeac336c5",,"4",-1,0
"65a95bef72dfad6eeac336d3",,"3",-1,0
"65a95d9172dfad6eeac336ed",,"3",-1,0
"65a95db472dfad6eeac336ef",,"1",27961,0
"65a95ddd72dfad6eeac336f1",,"0",69488.00000000003,0
"65abe9bb42f109850541ef19","a","0",-1,0
"65ad39197579894600635e1e","q","3",-1,0
"65ad39387579894600635e92","q","4",-1,0
"65ad3de17579894600635fae",,"3",27232,0
"65ad882c7579894600636008",,"2",-1,0
"65ad897f7579894600636078",,"2",-1,0
"65ad8aefdbb4b833d7541ac5","f","2",-1,0
"65ad930f18794f8bd3543263","g","5",-1,0
"65ada0dbfc4b3711874f462c",,"-2",25433.399999976158,0
"65ada0dffc4b3711874f462e",,"-1",29355.700000047684,0
"65ada0e5fc4b3711874f4632",,"0",35568.89999997616,0
"65ada0e9fc4b3711874f463e",,"0",39991.89999997616,0
"65ada0fbfc4b3711874f4644",,"0",57494.10000002384,0
"65ada101fc4b3711874f4647",,"0",64106.89999997616,0
"65ada109fc4b3711874f464d",,"0",71514.5,0
"65ada10dfc4b3711874f4650",,"0",76075.89999997616,0
"65ada111fc4b3711874f4652",,"0",79984,0
"65ada25efc4b3711874f4697",,"+4",412233.39999997616,0
"65ada260fc4b3711874f4699",,"+4",414643.5,0
"65ada271fc4b3711874f469f",,"+4",431748.7000000477,0
"65ada27ffc4b3711874f46a4",,"-1",446080,0
"65ada30bfc4b3711874f46db",,"-2",36437.200000047684,0
"65ada310fc4b3711874f46e6",,"-2",41354,0
"65ada315fc4b3711874f470b",,"-2",46346.5,0
"65ada31afc4b3711874f471e",,"-2",51270.200000047684,0
"65ada31ffc4b3711874f473b",,"-2",56291.200000047684,0
"65ada325fc4b3711874f473f",,"+3",62069.299999952316,0
"65ada54d4d1d58e99c213174",,"-1",-1,0
"65ada5754d1d58e99c2131b2",,"5",-1,0
"65ada5974d1d58e99c2131e6",,"2",-1,0
"65ada61f4d1d58e99c213212","23131","4",-1,0
"65ada8324d1d58e99c213250","23131","4",-1,0
"65adacc77aeafee975f449ad",,"1",-1,0
"65add0b4f10edaa59c8bdb75","g","5",32045,0
"65add1b9e7f68c3cfe841118","g","4",-1,0
"65add35282db3fd207746eeb","Joe","-1",27263,0
"65addd6901b9a91e60790b4a","l","1",31512,0
"65addf4ecf3e98f3af7e668d","j","1",-1,0
"65ade09d4e6bcb71e6b8caed","j","2",-1,0
"65ade1d5dca9bdacde1937ff","23131","2",-1,0